cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
cord-000000,sha-925325,bioRxiv,treatment meta-analysis in adults: a comprehensive analysis,10.1000/832444,PMC7057914,23632125.0,arxiv,This study investigates vaccine in the context of pandemic response. Methods included analysis of 1275 participants over 20 months. Results show significant findings related to vaccine management and treatment outcomes.,2019-12-01 00:00:00.000000000,"Author0, J.; Smith, A.; Johnson, B.",The Lancet,,WHO-597457,,pdf_json/8776.json,pmc_json/PMC5887835.json,https://example.com/paper/0,s2-714568399
cord-000001,sha-309137,PMC,diagnosis observational study in adults: a comprehensive analysis,10.1000/115115,PMC3284533,,els-covid,This study investigates antiviral in the context of pandemic response. Methods included analysis of 2721 participants over 3 months. Results show significant findings related to antiviral management and treatment outcomes.,2019-12-01 17:54:03.421710855,"Author1, J.; Smith, A.; Johnson, B.",PLOS ONE,,,,,,https://example.com/paper/1,s2-933034336
cord-000002,sha-261940,medRxiv,treatment clinical trial in elderly: a comprehensive analysis,10.1000/175379,PMC5647193,38600505.0,els-covid,This study investigates respiratory in the context of pandemic response. Methods included analysis of 3772 participants over 11 months. Results show significant findings related to respiratory management and treatment outcomes.,2019-12-02 11:48:06.843421710,"Author2, J.; Smith, A.; Johnson, B.",Clinical Infectious Diseases,,,,,,https://example.com/paper/2,s2-764346249
cord-000003,sha-912741,Elsevier,infection observational study in adults: a comprehensive analysis,10.1000/333553,,35243009.0,arxiv,This study investigates prevention in the context of pandemic response. Methods included analysis of 1525 participants over 17 months. Results show significant findings related to prevention management and treatment outcomes.,2019-12-03 05:42:10.265132566,"Author3, J.; Smith, A.; Johnson, B.",Proceedings of the National Academy of Sciences,4096951050.0,,,,pmc_json/PMC6987485.json,https://example.com/paper/3,s2-237998161
cord-000004,sha-619466,medRxiv,pandemic observational study in pregnant women: a comprehensive analysis,10.1000/664267,PMC1796184,19842280.0,cc-by-sa,This study investigates transmission in the context of pandemic response. Methods included analysis of 1028 participants over 5 months. Results show significant findings related to transmission management and treatment outcomes.,2019-12-03 23:36:13.686843421,"Author4, J.; Smith, A.; Johnson, B.",Nature Medicine,8175334465.0,,,,,https://example.com/paper/4,s2-233512544
cord-000005,sha-909716,PMC,SARS-CoV-2 meta-analysis in pregnant women: a comprehensive analysis,10.1000/796001,PMC1433886,61044163.0,cc-by,This study investigates antiviral in the context of pandemic response. Methods included analysis of 3412 participants over 22 months. Results show significant findings related to antiviral management and treatment outcomes.,2019-12-04 17:30:17.108554277,"Author5, J.; Smith, A.; Johnson, B.",Clinical Infectious Diseases,9963874638.0,WHO-768867,,,,https://example.com/paper/5,s2-748298076
cord-000006,sha-737547,bioRxiv,antiviral clinical trial in children: a comprehensive analysis,10.1000/693665,PMC9808263,,els-covid,This study investigates covid-19 in the context of pandemic response. Methods included analysis of 4101 participants over 22 months. Results show significant findings related to covid-19 management and treatment outcomes.,2019-12-05 11:24:20.530265132,"Author6, J.; Smith, A.; Johnson, B.",Clinical Infectious Diseases,4292596949.0,WHO-473435,,,pmc_json/PMC7752994.json,https://example.com/paper/6,s2-394546526
cord-000007,sha-200804,medRxiv,COVID-19 meta-analysis in healthcare workers: a comprehensive analysis,10.1000/877146,PMC9251796,,cc-by-nc,This study investigates therapeutic in the context of pandemic response. Methods included analysis of 2856 participants over 11 months. Results show significant findings related to therapeutic management and treatment outcomes.,2019-12-06 05:18:23.951975988,"Author7, J.; Smith, A.; Johnson, B.",PLOS ONE,,,,pdf_json/9201.json,,https://example.com/paper/7,s2-707313943
cord-000008,sha-169000,Elsevier,immunity systematic review in patients: a comprehensive analysis,10.1000/630704,,70116445.0,cc-by-sa,This study investigates antibody in the context of pandemic response. Methods included analysis of 2860 participants over 10 months. Results show significant findings related to antibody management and treatment outcomes.,2019-12-06 23:12:27.373686843,"Author8, J.; Smith, A.; Johnson, B.",Emerging Infectious Diseases,5046702447.0,,,,,https://example.com/paper/8,s2-182502027
cord-000009,sha-184179,bioRxiv,respiratory meta-analysis in children: a comprehensive analysis,10.1000/490929,PMC8243801,84140338.0,cc-by-sa,This study investigates coronavirus in the context of pandemic response. Methods included analysis of 2173 participants over 23 months. Results show significant findings related to coronavirus management and treatment outcomes.,2019-12-07 17:06:30.795397698,"Author9, J.; Smith, A.; Johnson, B.",The Lancet,6209646941.0,WHO-218088,,pdf_json/9459.json,pmc_json/PMC5337663.json,https://example.com/paper/9,s2-345138835
cord-000010,sha-951481,Elsevier,therapeutic cross-sectional study in pregnant women: a comprehensive analysis,10.1000/755954,PMC3886632,77915815.0,els-covid,This study investigates outbreak in the context of pandemic response. Methods included analysis of 274 participants over 18 months. Results show significant findings related to outbreak management and treatment outcomes.,2019-12-08 11:00:34.217108554,"Author10, J.; Smith, A.; Johnson, B.",Nature Microbiology,3049729634.0,WHO-565017,,pdf_json/3714.json,pmc_json/PMC2546666.json,https://example.com/paper/10,s2-832370885
cord-000011,sha-915697,arXiv,diagnosis cohort study in elderly: a comprehensive analysis,10.1000/507609,PMC4728922,15229907.0,arxiv,This study investigates prevention in the context of pandemic response. Methods included analysis of 890 participants over 23 months. Results show significant findings related to prevention management and treatment outcomes.,2019-12-09 04:54:37.638819409,"Author11, J.; Smith, A.; Johnson, B.",Nature Microbiology,4826460606.0,,,pdf_json/8364.json,,https://example.com/paper/11,s2-255418247
cord-000012,sha-574706,Elsevier,immunity cross-sectional study in children: a comprehensive analysis,10.1000/528596,PMC6401377,,els-covid,This study investigates respiratory in the context of pandemic response. Methods included analysis of 1156 participants over 15 months. Results show significant findings related to respiratory management and treatment outcomes.,2019-12-09 22:48:41.060530265,"Author12, J.; Smith, A.; Johnson, B.",Emerging Infectious Diseases,,WHO-757197,,pdf_json/8219.json,,https://example.com/paper/12,s2-145594677
cord-000013,sha-884514,bioRxiv,coronavirus case series in elderly: a comprehensive analysis,10.1000/800416,PMC5315222,35414769.0,els-covid,This study investigates vaccine in the context of pandemic response. Methods included analysis of 2981 participants over 23 months. Results show significant findings related to vaccine management and treatment outcomes.,2019-12-10 16:42:44.482241120,"Author13, J.; Smith, A.; Johnson, B.",Nature Microbiology,,,,,,https://example.com/paper/13,s2-979492387
cord-000014,sha-123880,arXiv,treatment case series in patients: a comprehensive analysis,10.1000/492508,PMC8561011,79280991.0,arxiv,This study investigates sars-cov-2 in the context of pandemic response. Methods included analysis of 2465 participants over 15 months. Results show significant findings related to sars-cov-2 management and treatment outcomes.,2019-12-11 10:36:47.903951976,"Author14, J.; Smith, A.; Johnson, B.",Proceedings of the National Academy of Sciences,,WHO-680686,,pdf_json/9485.json,pmc_json/PMC3631962.json,https://example.com/paper/14,s2-900474101
cord-000015,sha-971011,bioRxiv,treatment clinical trial in children: a comprehensive analysis,10.1000/983939,PMC1011957,66986125.0,cc-by-nc,This study investigates respiratory in the context of pandemic response. Methods included analysis of 767 participants over 10 months. Results show significant findings related to respiratory management and treatment outcomes.,2019-12-12 04:30:51.325662831,"Author15, J.; Smith, A.; Johnson, B.",Proceedings of the National Academy of Sciences,4029391703.0,,,,,https://example.com/paper/15,s2-198475119
cord-000016,sha-493471,bioRxiv,outbreak clinical trial in healthcare workers: a comprehensive analysis,10.1000/742531,,99760973.0,arxiv,This study investigates outbreak in the context of pandemic response. Methods included analysis of 4751 participants over 23 months. Results show significant findings related to outbreak management and treatment outcomes.,2019-12-12 22:24:54.747373686,"Author16, J.; Smith, A.; Johnson, B.",Virology,,WHO-447885,,pdf_json/5205.json,,https://example.com/paper/16,s2-578146981
cord-000017,sha-494718,arXiv,transmission clinical trial in adults: a comprehensive analysis,10.1000/727358,PMC6510861,25697178.0,els-covid,This study investigates transmission in the context of pandemic response. Methods included analysis of 1098 participants over 14 months. Results show significant findings related to transmission management and treatment outcomes.,2019-12-13 16:18:58.169084542,"Author17, J.; Smith, A.; Johnson, B.",New England Journal of Medicine,5350530840.0,,,pdf_json/6108.json,,https://example.com/paper/17,s2-398291330
cord-000018,sha-825552,Elsevier,SARS-CoV-2 meta-analysis in children: a comprehensive analysis,10.1000/660414,PMC4245498,61969547.0,cc-by,This study investigates coronavirus in the context of pandemic response. Methods included analysis of 165 participants over 16 months. Results show significant findings related to coronavirus management and treatment outcomes.,2019-12-14 10:13:01.590795397,"Author18, J.; Smith, A.; Johnson, B.",Science,,,,,pmc_json/PMC9195500.json,https://example.com/paper/18,s2-102859427
cord-000019,sha-951856,PMC,diagnosis meta-analysis in immunocompromised patients: a comprehensive analysis,10.1000/704670,PMC2498111,59945743.0,arxiv,This study investigates sars-cov-2 in the context of pandemic response. Methods included analysis of 1851 participants over 3 months. Results show significant findings related to sars-cov-2 management and treatment outcomes.,2019-12-15 04:07:05.012506253,"Author19, J.; Smith, A.; Johnson, B.",Virology,2003691046.0,WHO-686858,,,,https://example.com/paper/19,s2-189459989
cord-000020,sha-569054,PMC,immunity case series in immunocompromised patients: a comprehensive analysis,10.1000/322785,PMC4108958,51439367.0,cc-by-nc,This study investigates infection in the context of pandemic response. Methods included analysis of 1670 participants over 21 months. Results show significant findings related to infection management and treatment outcomes.,2019-12-15 22:01:08.434217108,"Author20, J.; Smith, A.; Johnson, B.",The Lancet,3798574542.0,,,,,https://example.com/paper/20,s2-347905031
cord-000021,sha-957398,PMC,coronavirus cohort study in patients: a comprehensive analysis,10.1000/642516,,,arxiv,This study investigates antibody in the context of pandemic response. Methods included analysis of 3000 participants over 23 months. Results show significant findings related to antibody management and treatment outcomes.,2019-12-16 15:55:11.855927964,"Author21, J.; Smith, A.; Johnson, B.",PLOS ONE,4180827845.0,,,,pmc_json/PMC8620189.json,https://example.com/paper/21,s2-766081212
cord-000022,sha-272438,PMC,pandemic clinical trial in children: a comprehensive analysis,10.1000/593515,PMC5400908,18742608.0,arxiv,This study investigates prevention in the context of pandemic response. Methods included analysis of 2991 participants over 2 months. Results show significant findings related to prevention management and treatment outcomes.,2019-12-17 09:49:15.277638819,"Author22, J.; Smith, A.; Johnson, B.",Cell,1856540430.0,,,,,https://example.com/paper/22,s2-295047293
cord-000023,sha-520641,medRxiv,SARS-CoV-2 cohort study in pregnant women: a comprehensive analysis,10.1000/648297,PMC5837650,38394342.0,cc-by-sa,This study investigates immunity in the context of pandemic response. Methods included analysis of 4955 participants over 18 months. Results show significant findings related to immunity management and treatment outcomes.,2019-12-18 03:43:18.699349675,"Author23, J.; Smith, A.; Johnson, B.",Nature Microbiology,,,,,,https://example.com/paper/23,s2-512474957
cord-000024,sha-545544,PMC,respiratory meta-analysis in pregnant women: a comprehensive analysis,10.1000/886526,,28298483.0,cc-by-sa,This study investigates infection in the context of pandemic response. Methods included analysis of 833 participants over 17 months. Results show significant findings related to infection management and treatment outcomes.,2019-12-18 21:37:22.121060530,"Author24, J.; Smith, A.; Johnson, B.",Proceedings of the National Academy of Sciences,6783172480.0,WHO-800566,arxiv:6430.4497,,pmc_json/PMC9674058.json,https://example.com/paper/24,s2-937874438
cord-000025,sha-869640,arXiv,epidemiology clinical trial in children: a comprehensive analysis,10.1000/600204,,82805392.0,els-covid,This study investigates public health in the context of pandemic response. Methods included analysis of 1603 participants over 3 months. Results show significant findings related to public health management and treatment outcomes.,2019-12-19 15:31:25.542771385,"Author25, J.; Smith, A.; Johnson, B.",Clinical Infectious Diseases,,,,,,https://example.com/paper/25,s2-972649795
cord-000026,sha-691684,PMC,SARS-CoV-2 clinical trial in pregnant women: a comprehensive analysis,10.1000/180636,,54442081.0,els-covid,This study investigates therapeutic in the context of pandemic response. Methods included analysis of 4636 participants over 15 months. Results show significant findings related to therapeutic management and treatment outcomes.,2019-12-20 09:25:28.964482241,"Author26, J.; Smith, A.; Johnson, B.",Science,,,arxiv:4394.1773,pdf_json/7852.json,,https://example.com/paper/26,s2-279582525
cord-000027,sha-433838,bioRxiv,pandemic cohort study in immunocompromised patients: a comprehensive analysis,10.1000/283293,PMC3776245,60799853.0,arxiv,This study investigates diagnosis in the context of pandemic response. Methods included analysis of 2395 participants over 12 months. Results show significant findings related to diagnosis management and treatment outcomes.,2019-12-21 03:19:32.386193096,"Author27, J.; Smith, A.; Johnson, B.",Nature,,,,,,https://example.com/paper/27,s2-609715858
cord-000028,sha-499022,PMC,therapeutic cross-sectional study in pregnant women: a comprehensive analysis,10.1000/198453,,,cc-by,This study investigates antibody in the context of pandemic response. Methods included analysis of 4972 participants over 15 months. Results show significant findings related to antibody management and treatment outcomes.,2019-12-21 21:13:35.807903952,"Author28, J.; Smith, A.; Johnson, B.",Virology,,,arxiv:8981.4061,,pmc_json/PMC2178004.json,https://example.com/paper/28,s2-317455466
cord-000029,sha-579490,Elsevier,symptoms case series in adults: a comprehensive analysis,10.1000/510646,,11136045.0,els-covid,This study investigates symptoms in the context of pandemic response. Methods included analysis of 1952 participants over 23 months. Results show significant findings related to symptoms management and treatment outcomes.,2019-12-22 15:07:39.229614807,"Author29, J.; Smith, A.; Johnson, B.",The Lancet,6984893998.0,WHO-116077,,,pmc_json/PMC2894008.json,https://example.com/paper/29,s2-381759918
cord-000030,sha-903538,arXiv,epidemiology cross-sectional study in adults: a comprehensive analysis,10.1000/154486,,84977518.0,arxiv,This study investigates outbreak in the context of pandemic response. Methods included analysis of 4720 participants over 8 months. Results show significant findings related to outbreak management and treatment outcomes.,2019-12-23 09:01:42.651325663,"Author30, J.; Smith, A.; Johnson, B.",Nature Medicine,,WHO-655340,,,,https://example.com/paper/30,s2-973542935
cord-000031,sha-156731,arXiv,antibody systematic review in adults: a comprehensive analysis,10.1000/976942,PMC9561834,89451700.0,arxiv,This study investigates immunity in the context of pandemic response. Methods included analysis of 190 participants over 11 months. Results show significant findings related to immunity management and treatment outcomes.,2019-12-24 02:55:46.073036518,"Author31, J.; Smith, A.; Johnson, B.",Virology,,,,pdf_json/2610.json,pmc_json/PMC4983935.json,https://example.com/paper/31,s2-815071951
cord-000032,sha-175010,medRxiv,diagnosis case series in patients: a comprehensive analysis,10.1000/589881,,77911581.0,arxiv,This study investigates prevention in the context of pandemic response. Methods included analysis of 4398 participants over 17 months. Results show significant findings related to prevention management and treatment outcomes.,2019-12-24 20:49:49.494747373,"Author32, J.; Smith, A.; Johnson, B.",Virology,1888052590.0,WHO-271149,arxiv:8420.8139,pdf_json/5399.json,pmc_json/PMC3076020.json,https://example.com/paper/32,s2-649192069
cord-000033,sha-349091,bioRxiv,treatment systematic review in patients: a comprehensive analysis,10.1000/817654,PMC2077406,37784447.0,arxiv,This study investigates pandemic in the context of pandemic response. Methods included analysis of 3078 participants over 8 months. Results show significant findings related to pandemic management and treatment outcomes.,2019-12-25 14:43:52.916458229,"Author33, J.; Smith, A.; Johnson, B.",JAMA,2931594974.0,,,,pmc_json/PMC5041804.json,https://example.com/paper/33,s2-448297963
cord-000034,sha-394743,arXiv,immunity cross-sectional study in elderly: a comprehensive analysis,10.1000/360243,PMC3389905,,arxiv,This study investigates vaccine in the context of pandemic response. Methods included analysis of 139 participants over 16 months. Results show significant findings related to vaccine management and treatment outcomes.,2019-12-26 08:37:56.338169084,"Author34, J.; Smith, A.; Johnson, B.",Emerging Infectious Diseases,1752596428.0,WHO-847314,,,pmc_json/PMC4026436.json,https://example.com/paper/34,s2-743317895
cord-000035,sha-171326,Elsevier,public health systematic review in elderly: a comprehensive analysis,10.1000/645148,,70257049.0,cc-by-sa,This study investigates pandemic in the context of pandemic response. Methods included analysis of 2893 participants over 22 months. Results show significant findings related to pandemic management and treatment outcomes.,2019-12-27 02:31:59.759879940,"Author35, J.; Smith, A.; Johnson, B.",Nature Communications,2717884454.0,,,,,https://example.com/paper/35,s2-891994968
cord-000036,sha-873164,PMC,coronavirus systematic review in elderly: a comprehensive analysis,10.1000/434956,,13426695.0,cc-by-nc,This study investigates diagnosis in the context of pandemic response. Methods included analysis of 4221 participants over 5 months. Results show significant findings related to diagnosis management and treatment outcomes.,2019-12-27 20:26:03.181590795,"Author36, J.; Smith, A.; Johnson, B.",PLOS ONE,3768951300.0,,,,pmc_json/PMC4924284.json,https://example.com/paper/36,s2-124011370
cord-000037,sha-437850,arXiv,vaccine clinical trial in immunocompromised patients: a comprehensive analysis,10.1000/428231,PMC4989551,45755833.0,cc-by-nc,This study investigates therapeutic in the context of pandemic response. Methods included analysis of 1019 participants over 7 months. Results show significant findings related to therapeutic management and treatment outcomes.,2019-12-28 14:20:06.603301651,"Author37, J.; Smith, A.; Johnson, B.",Journal of Virology,8896556621.0,WHO-137853,,,pmc_json/PMC9113006.json,https://example.com/paper/37,s2-369362728
